commodityCode,countryCode,marketYear,calendarYear,month,attributeId,unitId,commodityName,attributeName,unitDescription,countryName,regionName,value
0440000,AL,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Albania,Other Europe,0.0
0440000,AL,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Albania,Other Europe,460.0
0440000,AL,2024,2024,08,184,26,Corn,Yield,(MT/HA),Albania,Other Europe,7.0536
0440000,AO,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Angola,Sub-Saharan Africa,2500.0
0440000,AO,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Angola,Sub-Saharan Africa,880.0
0440000,AO,2024,2024,08,28,8,Corn,Production,(1000 MT),Angola,Sub-Saharan Africa,2800.0
0440000,AO,2024,2024,08,57,8,Corn,Imports,(1000 MT),Angola,Sub-Saharan Africa,150.0
0440000,AO,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Angola,Sub-Saharan Africa,150.0
0440000,AO,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Angola,Sub-Saharan Africa,0.0
0440000,AO,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Angola,Sub-Saharan Africa,3830.0
0440000,AO,2024,2024,08,88,8,Corn,Exports,(1000 MT),Angola,Sub-Saharan Africa,0.0
0440000,AO,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Angola,Sub-Saharan Africa,0.0
0440000,AO,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Angola,Sub-Saharan Africa,650.0
0440000,AO,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Angola,Sub-Saharan Africa,2400.0
0440000,AO,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Angola,Sub-Saharan Africa,3050.0
0440000,AO,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Angola,Sub-Saharan Africa,780.0
0440000,AO,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Angola,Sub-Saharan Africa,3830.0
0440000,AO,2024,2024,08,184,26,Corn,Yield,(MT/HA),Angola,Sub-Saharan Africa,1.12
0440000,AR,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Argentina,South America,6400.0
0440000,AR,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Argentina,South America,1539.0
0440000,AR,2024,2024,08,28,8,Corn,Production,(1000 MT),Argentina,South America,51000.0
0440000,AR,2024,2024,08,57,8,Corn,Imports,(1000 MT),Argentina,South America,5.0
0440000,AR,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Argentina,South America,5.0
0440000,AR,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Argentina,South America,0.0
0440000,AR,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Argentina,South America,52544.0
0440000,AR,2024,2024,08,88,8,Corn,Exports,(1000 MT),Argentina,South America,36000.0
0440000,AR,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Argentina,South America,37000.0
0440000,AR,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Argentina,South America,10300.0
0440000,AR,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Argentina,South America,4500.0
0440000,AR,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Argentina,South America,14800.0
0440000,AR,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Argentina,South America,1744.0
0440000,AR,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Argentina,South America,52544.0
0440000,AR,2024,2024,08,184,26,Corn,Yield,(MT/HA),Argentina,South America,7.9688
0440000,AS,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Australia,Oceania,50.0
0440000,AS,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Australia,Oceania,54.0
0440000,AS,2024,2024,08,28,8,Corn,Production,(1000 MT),Australia,Oceania,400.0
0440000,AS,2024,2024,08,57,8,Corn,Imports,(1000 MT),Australia,Oceania,0.0
0440000,AS,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Australia,Oceania,0.0
0440000,AS,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Australia,Oceania,0.0
0440000,AS,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Australia,Oceania,454.0
0440000,AS,2024,2024,08,88,8,Corn,Exports,(1000 MT),Australia,Oceania,60.0
0440000,AS,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Australia,Oceania,60.0
0440000,AS,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Australia,Oceania,215.0
0440000,AS,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Australia,Oceania,120.0
0440000,AS,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Australia,Oceania,335.0
0440000,AS,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Australia,Oceania,59.0
0440000,AS,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Australia,Oceania,454.0
0440000,AS,2024,2024,08,184,26,Corn,Yield,(MT/HA),Australia,Oceania,8.0
0440000,BC,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Botswana,Sub-Saharan Africa,30.0
0440000,BC,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Botswana,Sub-Saharan Africa,11.0
0440000,BC,2024,2024,08,28,8,Corn,Production,(1000 MT),Botswana,Sub-Saharan Africa,10.0
0440000,BC,2024,2024,08,57,8,Corn,Imports,(1000 MT),Botswana,Sub-Saharan Africa,300.0
0440000,BC,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Botswana,Sub-Saharan Africa,300.0
0440000,BC,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Botswana,Sub-Saharan Africa,0.0
0440000,BC,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Botswana,Sub-Saharan Africa,321.0
0440000,BC,2024,2024,08,88,8,Corn,Exports,(1000 MT),Botswana,Sub-Saharan Africa,0.0
0440000,BC,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Botswana,Sub-Saharan Africa,0.0
0440000,BC,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Botswana,Sub-Saharan Africa,10.0
0440000,BC,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Botswana,Sub-Saharan Africa,305.0
0440000,BC,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Botswana,Sub-Saharan Africa,315.0
0440000,BC,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Botswana,Sub-Saharan Africa,6.0
0440000,BC,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Botswana,Sub-Saharan Africa,321.0
0440000,BC,2024,2024,08,184,26,Corn,Yield,(MT/HA),Botswana,Sub-Saharan Africa,0.3333
0440000,BG,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Bangladesh,South Asia,650.0
0440000,BG,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Bangladesh,South Asia,115.0
0440000,BG,2024,2024,08,28,8,Corn,Production,(1000 MT),Bangladesh,South Asia,5640.0
0440000,BG,2024,2024,08,57,8,Corn,Imports,(1000 MT),Bangladesh,South Asia,600.0
0440000,BG,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Bangladesh,South Asia,800.0
0440000,BG,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Bangladesh,South Asia,0.0
0440000,BG,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Bangladesh,South Asia,6355.0
0440000,BG,2024,2024,08,88,8,Corn,Exports,(1000 MT),Bangladesh,South Asia,0.0
0440000,BG,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Bangladesh,South Asia,0.0
0440000,BG,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Bangladesh,South Asia,5800.0
0440000,BG,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Bangladesh,South Asia,400.0
0440000,BG,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Bangladesh,South Asia,6200.0
0440000,BG,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Bangladesh,South Asia,155.0
0440000,BG,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Bangladesh,South Asia,6355.0
0440000,BG,2024,2024,08,184,26,Corn,Yield,(MT/HA),Bangladesh,South Asia,8.6769
0440000,BK,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Bosnia and Herzegovina,Other Europe,150.0
0440000,BK,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Bosnia and Herzegovina,Other Europe,110.0
0440000,BK,2024,2024,08,28,8,Corn,Production,(1000 MT),Bosnia and Herzegovina,Other Europe,1020.0
0440000,BK,2024,2024,08,57,8,Corn,Imports,(1000 MT),Bosnia and Herzegovina,Other Europe,200.0
0440000,BK,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Bosnia and Herzegovina,Other Europe,200.0
0440000,BK,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Bosnia and Herzegovina,Other Europe,0.0
0440000,BK,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Bosnia and Herzegovina,Other Europe,1330.0
0440000,BK,2024,2024,08,88,8,Corn,Exports,(1000 MT),Bosnia and Herzegovina,Other Europe,5.0
0440000,BK,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Bosnia and Herzegovina,Other Europe,5.0
0440000,BK,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Bosnia and Herzegovina,Other Europe,1110.0
0440000,BK,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Bosnia and Herzegovina,Other Europe,100.0
0440000,BK,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Bosnia and Herzegovina,Other Europe,1210.0
0440000,BK,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Bosnia and Herzegovina,Other Europe,115.0
0440000,BK,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Bosnia and Herzegovina,Other Europe,1330.0
0440000,BK,2024,2024,08,184,26,Corn,Yield,(MT/HA),Bosnia and Herzegovina,Other Europe,6.8
0440000,BL,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Bolivia,South America,420.0
0440000,BL,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Bolivia,South America,119.0
0440000,BL,2024,2024,08,28,8,Corn,Production,(1000 MT),Bolivia,South America,1075.0
0440000,BL,2024,2024,08,57,8,Corn,Imports,(1000 MT),Bolivia,South America,25.0
0440000,BL,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Bolivia,South America,25.0
0440000,BL,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Bolivia,South America,0.0
0440000,BL,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Bolivia,South America,1219.0
0440000,BL,2024,2024,08,88,8,Corn,Exports,(1000 MT),Bolivia,South America,5.0
0440000,BL,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Bolivia,South America,5.0
0440000,BL,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Bolivia,South America,750.0
0440000,BL,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Bolivia,South America,350.0
0440000,BL,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Bolivia,South America,1100.0
0440000,BL,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Bolivia,South America,114.0
0440000,BL,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Bolivia,South America,1219.0
0440000,BL,2024,2024,08,184,26,Corn,Yield,(MT/HA),Bolivia,South America,2.5595
0440000,BM,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Burma,Southeast Asia,595.0
0440000,BM,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Burma,Southeast Asia,84.0
0440000,BM,2024,2024,08,28,8,Corn,Production,(1000 MT),Burma,Southeast Asia,2400.0
0440000,BM,2024,2024,08,57,8,Corn,Imports,(1000 MT),Burma,Southeast Asia,10.0
0440000,BM,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Burma,Southeast Asia,10.0
0440000,BM,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Burma,Southeast Asia,0.0
0440000,BM,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Burma,Southeast Asia,2494.0
0440000,BM,2024,2024,08,88,8,Corn,Exports,(1000 MT),Burma,Southeast Asia,1800.0
0440000,BM,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Burma,Southeast Asia,1800.0
0440000,BM,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Burma,Southeast Asia,500.0
0440000,BM,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Burma,Southeast Asia,50.0
0440000,BM,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Burma,Southeast Asia,550.0
0440000,BM,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Burma,Southeast Asia,144.0
0440000,BM,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Burma,Southeast Asia,2494.0
0440000,BM,2024,2024,08,184,26,Corn,Yield,(MT/HA),Burma,Southeast Asia,4.0336
0440000,BO,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Belarus,Former Soviet Union - 12,240.0
0440000,BO,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Belarus,Former Soviet Union - 12,129.0
0440000,BO,2024,2024,08,28,8,Corn,Production,(1000 MT),Belarus,Former Soviet Union - 12,1300.0
0440000,BO,2024,2024,08,57,8,Corn,Imports,(1000 MT),Belarus,Former Soviet Union - 12,25.0
0440000,BO,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Belarus,Former Soviet Union - 12,25.0
0440000,BO,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Belarus,Former Soviet Union - 12,0.0
0440000,BO,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Belarus,Former Soviet Union - 12,1454.0
0440000,BO,2024,2024,08,88,8,Corn,Exports,(1000 MT),Belarus,Former Soviet Union - 12,25.0
0440000,BO,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Belarus,Former Soviet Union - 12,25.0
0440000,BO,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Belarus,Former Soviet Union - 12,1200.0
0440000,BO,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Belarus,Former Soviet Union - 12,100.0
0440000,BO,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Belarus,Former Soviet Union - 12,1300.0
0440000,BO,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Belarus,Former Soviet Union - 12,129.0
0440000,BO,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Belarus,Former Soviet Union - 12,1454.0
0440000,BO,2024,2024,08,184,26,Corn,Yield,(MT/HA),Belarus,Former Soviet Union - 12,5.4167
0440000,BR,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Brazil,South America,22300.0
0440000,BR,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Brazil,South America,3841.0
0440000,BR,2024,2024,08,28,8,Corn,Production,(1000 MT),Brazil,South America,127000.0
0440000,BR,2024,2024,08,57,8,Corn,Imports,(1000 MT),Brazil,South America,1500.0
0440000,BR,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Brazil,South America,1400.0
0440000,BR,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Brazil,South America,0.0
0440000,BR,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Brazil,South America,132341.0
0440000,BR,2024,2024,08,88,8,Corn,Exports,(1000 MT),Brazil,South America,49000.0
0440000,BR,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Brazil,South America,51000.0
0440000,BR,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Brazil,South America,64000.0
0440000,BR,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Brazil,South America,16500.0
0440000,BR,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Brazil,South America,80500.0
0440000,BR,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Brazil,South America,2841.0
0440000,BR,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Brazil,South America,132341.0
0440000,BR,2024,2024,08,184,26,Corn,Yield,(MT/HA),Brazil,South America,5.6951
0440000,BT,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Bhutan,South Asia,8.0
0440000,BT,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Bhutan,South Asia,0.0
0440000,BT,2024,2024,08,28,8,Corn,Production,(1000 MT),Bhutan,South Asia,31.0
0440000,BT,2024,2024,08,57,8,Corn,Imports,(1000 MT),Bhutan,South Asia,20.0
0440000,BT,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Bhutan,South Asia,20.0
0440000,BT,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Bhutan,South Asia,0.0
0440000,BT,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Bhutan,South Asia,51.0
0440000,BT,2024,2024,08,88,8,Corn,Exports,(1000 MT),Bhutan,South Asia,0.0
0440000,BT,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Bhutan,South Asia,0.0
0440000,BT,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Bhutan,South Asia,0.0
0440000,BT,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Bhutan,South Asia,51.0
0440000,BT,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Bhutan,South Asia,51.0
0440000,BT,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Bhutan,South Asia,0.0
0440000,BT,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Bhutan,South Asia,51.0
0440000,BT,2024,2024,08,184,26,Corn,Yield,(MT/HA),Bhutan,South Asia,3.875
0440000,BY,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Burundi,Sub-Saharan Africa,180.0
0440000,BY,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Burundi,Sub-Saharan Africa,6.0
0440000,BY,2024,2024,08,28,8,Corn,Production,(1000 MT),Burundi,Sub-Saharan Africa,280.0
0440000,BY,2024,2024,08,57,8,Corn,Imports,(1000 MT),Burundi,Sub-Saharan Africa,10.0
0440000,BY,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Burundi,Sub-Saharan Africa,10.0
0440000,BY,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Burundi,Sub-Saharan Africa,0.0
0440000,BY,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Burundi,Sub-Saharan Africa,296.0
0440000,BY,2024,2024,08,88,8,Corn,Exports,(1000 MT),Burundi,Sub-Saharan Africa,0.0
0440000,BY,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Burundi,Sub-Saharan Africa,0.0
0440000,BY,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Burundi,Sub-Saharan Africa,10.0
0440000,BY,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Burundi,Sub-Saharan Africa,280.0
0440000,BY,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Burundi,Sub-Saharan Africa,290.0
0440000,BY,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Burundi,Sub-Saharan Africa,6.0
0440000,BY,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Burundi,Sub-Saharan Africa,296.0
0440000,BY,2024,2024,08,184,26,Corn,Yield,(MT/HA),Burundi,Sub-Saharan Africa,1.5556
0440000,CA,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Canada,North America,1450.0
0440000,CA,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Canada,North America,1604.0
0440000,CA,2024,2024,08,28,8,Corn,Production,(1000 MT),Canada,North America,14500.0
0440000,CA,2024,2024,08,57,8,Corn,Imports,(1000 MT),Canada,North America,2700.0
0440000,CA,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Canada,North America,2700.0
0440000,CA,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Canada,North America,0.0
0440000,CA,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Canada,North America,18804.0
0440000,CA,2024,2024,08,88,8,Corn,Exports,(1000 MT),Canada,North America,1700.0
0440000,CA,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Canada,North America,1700.0
0440000,CA,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Canada,North America,10000.0
0440000,CA,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Canada,North America,5500.0
0440000,CA,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Canada,North America,15500.0
0440000,CA,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Canada,North America,1604.0
0440000,CA,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Canada,North America,18804.0
0440000,CA,2024,2024,08,184,26,Corn,Yield,(MT/HA),Canada,North America,10.0
0440000,CB,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Cambodia,Southeast Asia,240.0
0440000,CB,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Cambodia,Southeast Asia,148.0
